#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA23CA
#Date Time: 2019-04-01 12:59:37.574
#Start: 300 Hz
#Stop: 2250 Hz
#Steps: 500
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.5478 V
#Offset: -0.00029488 V
#Relative: no
#Channel: Channel 2
#Range: 5.4859 V
#Offset: -5.08746e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
1169.75,0.00729936,-0.39768
1174.49,0.00946197,-0.412992
1179.24,0.00545177,-0.43081
1184.01,0.00502378,-0.451143
1188.8,0.0120638,-0.470748
1193.61,0.00374474,-0.486528
1198.44,0.00901915,-0.507181
1203.29,0.00575163,-0.530941
1208.16,0.0129995,-0.552426
1213.05,0.00734688,-0.572659
1217.95,0.00526008,-0.592112
1222.88,0.00445533,-0.614675
1227.83,0.00251507,-0.637375
1232.8,0.000321563,-0.664474
1237.79,0.00469938,-0.688844
1242.79,0.00610689,-0.711245
1247.82,0.00804372,-0.740956
1252.87,0.00812124,-0.763973
1257.94,0.00331944,-0.790602
1263.03,0.00747339,-0.819142
1268.14,0.00442186,-0.843756
1273.27,0.00798954,-0.871195
1278.42,0.00824461,-0.900063
1283.59,0.0077123,-0.926065
1288.79,0.000292596,-0.952942
1294,0.00182282,-0.983767
1299.24,0.00403704,-1.0074
1304.5,0.000784439,-1.03742
1309.77,0.00681007,-1.07382
1315.07,0.00385201,-1.09842
1320.39,-0.00174268,-1.12571
1325.74,0.00581118,-1.15759
1331.1,0.00606368,-1.18741
1336.49,0.0163495,-1.22066
1341.89,0.00893612,-1.24297
1347.32,0.00940115,-1.27016
1352.77,0.00958848,-1.30305
1358.25,0.00912762,-1.32373
1363.74,0.00471815,-1.35109
1369.26,0.00567001,-1.37898
1374.8,0.00592146,-1.40318
1380.36,0.00454836,-1.43021
1385.95,0.0119198,-1.44524
1391.56,0.0105896,-1.46826
1397.19,-0.00128559,-1.48102
1402.84,0.00292786,-1.50018
1408.51,0.00738157,-1.51519
1414.21,0.00560032,-1.53376
1419.94,0.0078971,-1.54448
1425.68,0.0126713,-1.55325
1431.45,0.010387,-1.56138
1437.24,0.00763124,-1.56157
1443.06,0.00342633,-1.55768
1448.89,0.00893475,-1.55538
1454.76,0.00570138,-1.54636
1460.64,0.00875999,-1.52597
1466.55,0.00683749,-1.50057
1472.49,0.0039,-1.47872
1478.44,-0.00193014,-1.45286
1484.43,0.00101696,-1.40625
1490.43,-0.00058535,-1.36159
1496.46,0.000554067,-1.30984
1502.52,0.00560714,-1.25123
1508.6,0.0093251,-1.18479
1514.7,0.00642155,-1.10917
1520.83,0.00366383,-1.0173
1526.98,0.00272307,-0.943094
1533.16,0.0028002,-0.853689
1539.36,0.0104907,-0.777878
1545.59,0.00383881,-0.704986
1551.85,-0.000390139,-0.653878
1558.12,0.00274184,-0.641808
1564.43,0.0079344,-0.667929
1570.76,0.00423208,-0.723971
1577.11,0.0122222,-0.83698
1583.5,0.00180033,-0.97921
1589.9,0.00226204,-1.1828
1596.33,0.00461674,-1.4102
1602.79,0.00350192,-1.68499
1609.28,-0.00478909,-1.97035
1615.79,0.00732702,-2.31188
1622.33,0.00758562,-2.66223
1628.89,0.00802191,-3.0339
1635.48,0.00545785,-3.42958
1642.1,0.00364662,-3.83956
1648.74,0.00658269,-4.26272
1655.41,0.00961329,-4.69448
1662.11,0.00418171,-5.14142
1668.84,-0.00328046,-5.59247
1675.59,0.0117361,-6.08077
1682.37,-0.00175638,-6.53099
1689.18,0.00429792,-7.0227
1696.01,0.00715045,-7.53268
1702.87,0.00982689,-8.02986
1709.76,0.00272896,-8.52001
1716.68,0.0123271,-9.02191
1723.63,0.00478317,-9.55708
1730.6,0.00620965,-10.0587
1737.6,0.00429777,-10.5624
1744.63,0.00580458,-11.105
1751.69,0.000701427,-11.6207
1758.78,0.00513212,-12.1205
1765.89,-0.00291668,-12.6469
