X (Hz),Y (dBV),
12036.84,-104.9371,
12055.92,-78.48931,
12074.99,-76.07939,
12094.07,-73.26732,
12113.14,-68.26835,
12132.22,-65.11284,
12151.29,-67.31531,
12170.37,-86.1815,
12189.45,-70.8072,
12208.52,-68.20283,
12227.6,-70.35748,
12246.67,-72.20292,
12265.75,-71.66487,
12284.83,-71.89736,
12303.9,-72.91515,
12322.98,-72.94282,
12342.05,-69.20856,
12361.13,-68.82006,
12380.2,-77.07799,
12399.28,-76.40464,
12418.36,-71.46624,
12437.43,-70.46711,
12456.51,-73.91727,
12475.58,-71.74892,
12494.66,-72.42026,
12513.73,-76.88594,
12532.81,-71.5475,
12551.89,-69.26374,
12570.96,-74.28924,
12590.04,-86.04036,
12609.11,-96.41542,
12628.19,-95.43229,
12647.27,-88.51536,
12666.34,-82.87691,
12685.42,-73.32021,
12704.49,-70.48371,
12723.57,-70.49014,
12742.64,-74.17767,
12761.72,-89.53659,
12780.8,-84.16141,
12799.87,-100.5935,
12818.95,-79.06086,
12838.02,-76.09237,
12857.1,-82.03584,
12876.17,-83.65513,
12895.25,-76.60973,
12914.33,-75.8906,
12933.4,-77.81722,
12952.48,-77.9033,
12971.55,-91.82034,
12990.63,-77.00836,
13009.71,-74.07339,
13028.78,-72.53835,
13047.86,-72.77415,
13066.93,-74.64715,
13086.01,-73.88152,
13105.08,-74.01186,
13124.16,-74.47472,
13143.24,-75.64511,
13162.31,-80.98595,
13181.39,-77.60335,
13200.46,-80.32967,
13219.54,-89.54796,
13238.62,-76.33172,
13257.69,-74.63377,
13276.77,-79.1133,
13295.84,-81.63005,
13314.92,-87.00919,
13334,-89.3861,
13353.07,-83.42323,
13372.15,-87.20795,
13391.22,-90.33444,
13410.3,-81.95737,
13429.37,-79.45757,
13448.45,-79.09718,
13467.53,-79.28992,
13486.6,-77.84677,
13505.68,-78.83328,
13524.75,-91.88454,
13543.83,-85.28045,
13562.9,-83.73481,
13581.98,-86.38705,
13601.06,-91.47297,
13620.13,-100.3763,
13639.21,-103.9582,
13658.28,-104.6702,
13677.36,-92.20825,
13696.44,-88.28735,
13715.51,-90.23512,
13734.59,-90.62762,
13753.66,-89.68235,
13772.74,-88.56086,
13791.81,-87.33338,
13810.89,-88.17886,
13829.97,-90.6371,
13849.04,-73.42076,
13868.12,-58.98363,
13887.19,-52.80853,
13906.27,-53.29984,
13925.34,-59.65868,
13944.42,-64.51299,
13963.5,-59.55927,
13982.57,-53.41562,
14001.65,-52.65073,
14020.72,-58.48656,
14039.8,-72.76649,
14058.88,-97.86981,
14077.95,-104.4868,
14097.03,-98.69675,
14116.1,-97.35074,
14135.18,-94.0619,
14154.25,-98.22874,
14173.33,-97.04172,
14192.41,-89.90732,
14211.48,-93.33012,
14230.56,-103.178,
14249.63,-93.42383,
14268.71,-94.46194,
14287.79,-91.22292,
14306.86,-86.6292,
14325.94,-85.09238,
