X (Hz),Y (dBV),
9785.894,-67.42816,
9804.969,-68.6987,
9824.045,-68.501,
9843.121,-68.28443,
9862.196,-67.75311,
9881.272,-67.76655,
9900.348,-68.13152,
9919.424,-68.23055,
9938.5,-69.87934,
9957.575,-68.74402,
9976.651,-68.60134,
9995.728,-67.3265,
10014.8,-68.42947,
10033.88,-67.75995,
10052.96,-68.02835,
10072.03,-68.69566,
10091.11,-69.18408,
10110.18,-70.31557,
10129.26,-68.29836,
10148.33,-69.53435,
10167.41,-67.19728,
10186.49,-67.86906,
10205.56,-68.34531,
10224.64,-69.4417,
10243.71,-69.02481,
10262.79,-68.84525,
10281.86,-69.73911,
10300.94,-68.15485,
10320.02,-68.14562,
10339.09,-68.75327,
10358.17,-67.75931,
10377.24,-68.8987,
10396.32,-70.55756,
10415.4,-70.55938,
10434.47,-69.74536,
10453.55,-69.18419,
10472.62,-69.07189,
10491.7,-66.80316,
10510.77,-68.54494,
10529.85,-68.05203,
10548.93,-69.07438,
10568,-67.99922,
10587.08,-70.14985,
10606.15,-68.87349,
10625.23,-70.91731,
10644.3,-70.25745,
10663.38,-67.65062,
10682.46,-68.95206,
10701.53,-69.65106,
10720.61,-67.89653,
10739.68,-70.78294,
10758.76,-68.93376,
10777.84,-69.62999,
10796.91,-68.35703,
10815.99,-70.37418,
10835.06,-68.8381,
10854.14,-68.636,
10873.21,-68.81435,
10892.29,-69.06474,
10911.37,-70.36098,
10930.44,-70.09413,
10949.52,-70.3824,
10968.59,-68.41586,
10987.67,-69.49233,
11006.75,-69.58188,
11025.82,-68.89996,
11044.9,-69.38935,
11063.97,-70.0107,
11083.05,-69.89919,
11102.12,-68.73719,
11121.2,-70.46358,
11140.28,-69.13029,
11159.35,-68.32636,
11178.43,-69.38238,
11197.5,-68.93225,
11216.58,-69.89958,
11235.66,-69.53716,
11254.73,-70.512,
11273.81,-68.90697,
11292.88,-69.47588,
11311.96,-69.54899,
11331.03,-69.80225,
11350.11,-69.21138,
11369.19,-70.27917,
11388.26,-68.47816,
11407.34,-69.19718,
11426.41,-69.35723,
11445.49,-70.34645,
11464.56,-69.136,
11483.64,-71.38406,
11502.72,-70.31373,
11521.79,-68.98164,
11540.87,-70.21346,
11559.94,-70.50071,
11579.02,-69.82687,
11598.1,-69.48354,
11617.17,-70.13508,
11636.25,-68.95314,
11655.32,-67.88451,
11674.4,-70.15737,
11693.47,-69.01654,
11712.55,-69.92356,
11731.63,-72.15903,
11750.7,-70.14065,
11769.78,-69.87586,
11788.85,-69.09976,
11807.93,-72.03922,
11827.01,-68.7168,
11846.08,-68.55346,
11865.16,-70.97831,
11884.23,-72.58284,
11903.31,-68.18422,
11922.38,-70.23913,
11941.46,-70.51511,
11960.54,-68.42086,
11979.61,-70.18338,
11998.69,-68.75634,
12017.76,-68.8015,
12036.84,-70.12299,
12055.92,-72.8038,
12074.99,-69.95221,
12094.07,-71.29099,
12113.14,-72.66122,
12132.22,-69.18378,
12151.29,-69.90162,
12170.37,-69.48188,
12189.45,-68.53323,
12208.52,-69.97292,
12227.6,-72.93099,
12246.67,-70.70412,
12265.75,-68.97398,
12284.83,-71.35921,
12303.9,-69.67284,
12322.98,-68.56961,
12342.05,-70.50081,
12361.13,-70.68218,
12380.2,-68.45771,
12399.28,-70.48871,
12418.36,-72.59262,
12437.43,-70.94088,
12456.51,-70.23419,
12475.58,-71.03265,
12494.66,-71.77288,
12513.73,-68.81932,
12532.81,-72.10193,
12551.89,-70.64574,
12570.96,-71.00885,
12590.04,-69.76546,
12609.11,-70.85269,
12628.19,-69.74117,
12647.27,-69.80032,
12666.34,-70.2723,
12685.42,-71.27232,
12704.49,-68.99344,
12723.57,-71.94537,
12742.64,-71.00101,
12761.72,-70.27757,
12780.8,-70.008,
12799.87,-71.52043,
12818.95,-70.09238,
12838.02,-71.22076,
12857.1,-70.6523,
12876.17,-72.42469,
12895.25,-72.18242,
12914.33,-71.9629,
12933.4,-70.25194,
12952.48,-72.05504,
12971.55,-68.83669,
12990.63,-71.10441,
13009.71,-70.91371,
13028.78,-71.34027,
13047.86,-70.75017,
13066.93,-72.56409,
13086.01,-70.90971,
13105.08,-71.65004,
13124.16,-71.43463,
13143.24,-70.85128,
13162.31,-70.5052,
13181.39,-72.50986,
13200.46,-68.56588,
13219.54,-70.71701,
13238.62,-72.25947,
13257.69,-72.76081,
13276.77,-71.84777,
13295.84,-69.52283,
13314.92,-72.09074,
13334,-71.21114,
13353.07,-70.71409,
13372.15,-71.64799,
13391.22,-75.69957,
13410.3,-68.46104,
13429.37,-69.51855,
13448.45,-66.15826,
13467.53,-70.57132,
13486.6,-72.10877,
13505.68,-68.49061,
13524.75,-70.35144,
13543.83,-68.98895,
13562.9,-71.64353,
13581.98,-70.7198,
13601.06,-74.09644,
13620.13,-71.13626,
13639.21,-71.84434,
13658.28,-69.13681,
13677.36,-70.87096,
13696.44,-70.90982,
13715.51,-72.16489,
13734.59,-70.44733,
13753.66,-73.49541,
13772.74,-70.33688,
13791.81,-72.30531,
13810.89,-71.69559,
13829.97,-70.68612,
13849.04,-70.05122,
13868.12,-72.82542,
13887.19,-71.6949,
13906.27,-71.77423,
13925.34,-70.66669,
13944.42,-70.5472,
13963.5,-69.47125,
13982.57,-72.5128,
14001.65,-71.87743,
14020.72,-72.32957,
14039.8,-70.4197,
14058.88,-73.07582,
14077.95,-72.7021,
14097.03,-72.89429,
14116.1,-70.23006,
14135.18,-71.51357,
14154.25,-69.97315,
14173.33,-71.80902,
14192.41,-71.02932,
14211.48,-72.68033,
14230.56,-69.7158,
14249.63,-71.62561,
14268.71,-71.92223,
14287.79,-70.27917,
14306.86,-70.16013,
14325.94,-72.17535,
14345.01,-69.63054,
14364.09,-72.02286,
14383.17,-75.0463,
14402.24,-71.68381,
14421.32,-71.51289,
14440.39,-72.33104,
14459.47,-72.30177,
14478.54,-71.85056,
14497.62,-71.2757,
14516.7,-70.48428,
14535.77,-70.06142,
14554.85,-72.02521,
14573.92,-72.14535,
14593,-71.95149,
14612.07,-72.26061,
14631.15,-70.74162,
14650.23,-71.57618,
14669.3,-74.28331,
14688.38,-72.35818,
14707.45,-70.98949,
14726.53,-70.16199,
14745.61,-71.9043,
14764.68,-70.87112,
14783.76,-74.7346,
14802.83,-72.60147,
14821.91,-72.82081,
14840.98,-71.66439,
14860.06,-71.54174,
14879.14,-70.93782,
14898.21,-71.49416,
14917.29,-73.4187,
14936.36,-71.11503,
14955.44,-72.55075,
14974.51,-72.74014,
14993.59,-71.70627,
15012.67,-71.88372,
15031.74,-70.07191,
15050.82,-72.71082,
15069.89,-71.26162,
15088.97,-71.32305,
15108.05,-72.59258,
15127.12,-69.98757,
15146.2,-73.96252,
15165.27,-71.65788,
15184.35,-71.70317,
15203.42,-70.71146,
15222.5,-70.90392,
15241.58,-69.76241,
15260.65,-72.41415,
15279.73,-74.00563,
15298.8,-72.37271,
15317.88,-72.80257,
15336.96,-69.30307,
15356.03,-71.28116,
15375.11,-72.43723,
15394.18,-71.71784,
15413.26,-72.67793,
15432.33,-75.58519,
15451.41,-71.79307,
15470.49,-69.53826,
15489.56,-73.80412,
15508.64,-71.49839,
15527.71,-72.52779,
15546.79,-73.11358,
15565.87,-72.66282,
15584.94,-70.56071,
15604.02,-71.95404,
15623.09,-70.98088,
15642.17,-71.66729,
15661.24,-71.84286,
15680.32,-74.46499,
15699.4,-72.15656,
15718.47,-73.52597,
15737.55,-72.41272,
15756.62,-72.60851,
15775.7,-71.27541,
15794.78,-72.58043,
15813.85,-72.33077,
15832.93,-71.64491,
15852,-72.24198,
15871.08,-72.97177,
15890.15,-71.00337,
15909.23,-72.81653,
15928.31,-73.6049,
15947.38,-72.14394,
15966.46,-72.32719,
15985.53,-72.27435,
16004.61,-73.71588,
16023.68,-70.89058,
16042.76,-74.97108,
16061.84,-74.14169,
16080.91,-72.4243,
16099.99,-73.79602,
16119.06,-75.00889,
16138.14,-70.27065,
16157.22,-71.63146,
16176.29,-73.18488,
16195.37,-72.2476,
16214.44,-73.24303,
16233.52,-73.97642,
16252.59,-72.32592,
16271.67,-71.93034,
16290.75,-72.21089,
16309.82,-71.77843,
16328.9,-71.70299,
16347.97,-73.44217,
16367.05,-71.60011,
16386.13,-75.88594,
16405.2,-73.1566,
16424.28,-73.3526,
16443.35,-74.24682,
16462.43,-70.37077,
16481.5,-71.34864,
16500.58,-71.48327,
16519.66,-73.05341,
16538.73,-72.06341,
16557.81,-73.54508,
16576.88,-72.60358,
16595.96,-74.36664,
16615.04,-72.6337,
16634.11,-72.27477,
16653.19,-71.66325,
16672.26,-71.9947,
16691.34,-75.14459,
16710.41,-70.67706,
16729.49,-72.38058,
16748.57,-75.87041,
16767.64,-72.2132,
16786.72,-73.19521,
16805.79,-73.07793,
16824.87,-73.99274,
16843.95,-69.92134,
16863.02,-74.71193,
16882.1,-73.80914,
16901.17,-70.89206,
16920.25,-75.33057,
16939.32,-74.25082,
16958.4,-72.05062,
16977.47,-72.56042,
16996.55,-74.73946,
17015.63,-71.875,
17034.7,-71.74483,
17053.78,-73.8204,
17072.86,-71.13043,
17091.93,-74.71786,
17111.01,-73.88628,
17130.08,-75.02672,
17149.16,-74.32876,
17168.23,-73.83128,
17187.31,-71.61536,
17206.38,-71.80757,
17225.46,-71.80339,
17244.54,-72.15297,
17263.61,-74.18178,
17282.69,-72.7856,
17301.76,-74.08749,
17320.84,-75.92048,
17339.92,-72.40101,
17358.99,-73.39072,
17378.07,-73.96653,
17397.14,-74.86169,
17416.22,-71.3896,
17435.29,-73.08028,
17454.37,-74.68764,
17473.45,-70.11969,
17492.52,-74.62267,
17511.6,-73.13636,
17530.67,-73.77986,
17549.75,-73.89846,
17568.83,-74.08493,
17587.9,-74.03426,
17606.98,-70.89047,
17626.05,-75.54479,
17645.13,-72.25992,
17664.21,-73.50613,
17683.28,-73.2422,
17702.36,-73.6869,
17721.43,-74.12716,
17740.51,-73.33442,
17759.58,-70.42204,
17778.66,-73.33992,
17797.74,-71.6193,
17816.81,-74.20401,
17835.89,-78.07173,
17854.96,-75.51007,
17874.04,-72.75699,
17893.12,-76.83603,
17912.19,-71.60868,
17931.27,-74.91164,
17950.34,-71.4387,
17969.42,-73.21133,
17988.49,-72.99362,
18007.57,-75.88007,
18026.64,-73.21017,
18045.72,-72.5878,
18064.8,-73.45686,
18083.87,-72.12714,
18102.95,-71.4924,
18122.03,-75.99736,
18141.1,-74.09297,
18160.18,-72.72406,
18179.25,-74.01559,
18198.33,-74.64736,
18217.4,-72.13863,
18236.48,-72.78372,
18255.55,-74.76767,
18274.63,-72.32095,
18293.71,-73.87518,
18312.78,-73.1228,
18331.86,-73.13858,
18350.93,-73.78215,
18370.01,-75.49353,
18389.09,-73.31489,
18408.16,-74.96201,
18427.24,-73.52025,
18446.31,-74.04196,
18465.39,-74.34935,
18484.46,-71.39245,
18503.54,-71.87875,
18522.62,-73.90158,
18541.69,-74.43554,
18560.77,-74.01791,
18579.84,-75.87206,
18598.92,-74.57285,
18618,-72.25844,
18637.07,-73.03097,
18656.15,-74.41058,
18675.22,-71.8254,
18694.3,-74.41006,
18713.38,-76.17635,
18732.45,-74.42908,
18751.53,-73.19806,
18770.6,-72.7793,
18789.68,-73.86379,
18808.75,-72.8262,
18827.83,-74.55647,
18846.91,-74.89983,
18865.98,-73.71504,
18885.06,-74.29517,
18904.13,-72.84326,
18923.21,-73.46013,
18942.29,-72.79499,
18961.36,-74.38842,
18980.44,-74.02207,
18999.51,-76.3742,
19018.59,-73.63103,
19037.66,-75.59689,
19056.74,-77.98639,
19075.81,-75.27158,
19094.89,-73.49496,
19113.97,-75.09321,
19133.04,-72.97688,
19152.12,-71.55202,
19171.19,-77.37412,
19190.27,-70.75682,
19209.35,-72.01064,
19228.42,-72.83468,
19247.5,-74.94729,
19266.57,-74.85452,
19285.65,-75.63716,
19304.72,-76.37741,
19323.8,-78.37357,
19342.88,-71.01628,
19361.95,-73.00025,
19381.03,-72.55365,
19400.1,-76.37395,
19419.18,-73.18626,
19438.26,-71.99043,
19457.33,-71.87071,
19476.41,-71.14947,
19495.48,-74.2272,
19514.56,-76.01083,
19533.63,-80.11547,
19552.71,-74.17947,
19571.79,-77.23483,
19590.86,-71.27511,
19609.94,-71.31815,
19629.01,-72.80885,
19648.09,-77.5507,
19667.17,-75.57375,
19686.24,-73.92976,
19705.32,-74.32039,
19724.39,-72.63985,
19743.47,-74.2962,
19762.54,-75.59311,
19781.62,-74.34552,
19800.7,-74.17626,
19819.77,-73.38615,
19838.85,-73.17105,
19857.92,-73.85104,
19877,-72.88068,
19896.08,-70.95679,
19915.15,-73.36313,
19934.23,-78.22733,
19953.3,-76.49757,
19972.38,-75.4527,
19991.46,-78.55302,
20010.53,-72.91755,
20029.61,-75.18709,
20048.68,-75.98744,
20067.76,-73.83281,
20086.83,-73.20044,
20105.91,-75.8421,
20124.98,-72.97562,
20144.06,-72.99496,
20163.14,-73.02506,
20182.21,-73.75787,
20201.29,-72.28,
20220.36,-71.75198,
20239.44,-74.67178,
20258.52,-75.82044,
20277.59,-72.97073,
20296.67,-71.32827,
20315.74,-70.84007,
20334.82,-77.65518,
20353.89,-74.06739,
20372.97,-76.02396,
20392.05,-74.54184,
20411.12,-67.20684,
20430.2,-77.0925,
20449.27,-77.48184,
20468.35,-75.20637,
20487.43,-74.82291,
20506.5,-80.31441,
20525.58,-71.35749,
20544.65,-72.37701,
20563.73,-75.33341,
20582.8,-71.7708,
20601.88,-67.5117,
20620.96,-73.24516,
20640.03,-79.51371,
20659.11,-74.81721,
20678.18,-78.92167,
20697.26,-70.99906,
20716.34,-61.19805,
20735.41,-69.76534,
20754.49,-72.2278,
20773.56,-73.28185,
20792.64,-72.17104,
20811.71,-59.6691,
20830.79,-76.87155,
20849.87,-74.45923,
20868.94,-63.73247,
20888.02,-67.77671,
20907.09,-54.94092,
20926.17,-65.42151,
20945.24,-70.64638,
20964.32,-86.15144,
20983.4,-73.41565,
21002.47,-61.57393,
21021.55,-59.99663,
21040.63,-66.80759,
21059.7,-67.5929,
21078.78,-68.81058,
21097.85,-66.65847,
21116.93,-66.84791,
21136,-83.22459,
21155.08,-75.13741,
21174.15,-73.32421,
21193.23,-74.5228,
21212.31,-66.16654,
21231.38,-72.57314,
21250.46,-72.42841,
21269.53,-75.0362,
21288.61,-76.33429,
21307.69,-75.60595,
21326.76,-81.63665,
21345.84,-76.13506,
21364.91,-73.70156,
21383.99,-73.97281,
21403.06,-78.66132,
21422.14,-70.02164,
21441.22,-73.19119,
21460.29,-74.06786,
21479.37,-73.52393,
21498.44,-72.37309,
21517.52,-78.60492,
21536.6,-76.28839,
21555.67,-73.17226,
21574.75,-77.32416,
21593.82,-76.75513,
21612.9,-71.89439,
21631.97,-75.83045,
21651.05,-76.42703,
21670.13,-74.25237,
21689.2,-76.26981,
21708.28,-73.67118,
21727.35,-75.78201,
21746.43,-75.46966,
