x-axis,B,2
second,Volt,Volt
-799.995E-06,-2.849587891E+00,-46.475391E-03
-794.995E-06,-2.828097656E+00,-37.491797E-03
-789.995E-06,-2.800759766E+00,-29.287891E-03
-784.995E-06,-2.779273438E+00,-20.304688E-03
-779.995E-06,-2.755835938E+00,-12.492188E-03
-774.995E-06,-2.732394531E+00,-4.679297E-03
-769.995E-06,-2.705052734E+00,+3.524609E-03
-764.995E-06,-2.679658203E+00,+12.508594E-03
-759.995E-06,-2.650363281E+00,+21.103516E-03
-754.995E-06,-2.623019531E+00,+30.868360E-03
-749.995E-06,-2.595675781E+00,+39.852344E-03
-744.995E-06,-2.568333984E+00,+48.446485E-03
-739.995E-06,-2.542939453E+00,+57.430860E-03
-734.995E-06,-2.513640625E+00,+66.415235E-03
-729.995E-06,-2.482392578E+00,+75.398829E-03
-724.995E-06,-2.453091797E+00,+83.602736E-03
-719.995E-06,-2.419888672E+00,+92.586330E-03
-714.995E-06,-2.386685547E+00,+100.789064E-03
-709.995E-06,-2.353484375E+00,+108.603127E-03
-704.995E-06,-2.322230469E+00,+117.977346E-03
-699.995E-06,-2.287078125E+00,+126.571096E-03
-694.995E-06,-2.255824219E+00,+135.164846E-03
-689.995E-06,-2.220664063E+00,+143.758596E-03
-684.995E-06,-2.181603516E+00,+152.352346E-03
-679.995E-06,-2.144498047E+00,+160.946096E-03
-674.995E-06,-2.111287109E+00,+169.540628E-03
-669.995E-06,-2.070275391E+00,+178.914846E-03
-664.995E-06,-2.033166016E+00,+187.508206E-03
-659.995E-06,-1.996054688E+00,+195.711331E-03
-654.995E-06,-1.956992188E+00,+203.914456E-03
-649.995E-06,-1.917933594E+00,+212.117581E-03
-644.995E-06,-1.882771484E+00,+220.320706E-03
-639.995E-06,-1.841757813E+00,+228.523441E-03
-634.995E-06,-1.802693359E+00,+236.336332E-03
-629.995E-06,-1.761679688E+00,+244.539066E-03
-624.995E-06,-1.722615234E+00,+252.351176E-03
-619.995E-06,-1.681601563E+00,+259.773441E-03
-614.995E-06,-1.642537109E+00,+267.585941E-03
-609.995E-06,-1.601523438E+00,+275.398051E-03
-604.995E-06,-1.562458984E+00,+282.819535E-03
